departure_airport,arrival_airport,airline,departure_time,arrival_time,price,duration_hours,normalized_duration,airline_score,normalized_airline,ai_score
ICN,HRB,Jeju Air,2026-05-08T08:55:00+00:00,2026-05-08T10:25:00+00:00,0,1.5,0.0,3,,
ICN,HRB,,2026-05-08T08:55:00+00:00,2026-05-08T10:25:00+00:00,0,1.5,0.0,3,,
HND,FUK,Virgin Australia,2026-05-08T07:30:00+00:00,2026-05-08T09:25:00+00:00,0,1.92,0.31578947368421045,3,,
HND,NGS,Qatar Airways,2026-05-08T07:30:00+00:00,2026-05-08T09:20:00+00:00,0,1.83,0.24812030075187974,3,,
HND,NGS,AlphaSky,2026-05-08T07:30:00+00:00,2026-05-08T09:20:00+00:00,0,1.83,0.24812030075187974,3,,
HGH,TFU,China Eastern Airlines,2026-05-08T08:05:00+00:00,2026-05-08T10:50:00+00:00,0,2.75,0.9398496240601504,3,,
HGH,XIY,Xiamen Air,2026-05-08T08:05:00+00:00,2026-05-08T10:25:00+00:00,0,2.33,0.6240601503759399,3,,
HGH,TYN,Hainan Airlines,2026-05-08T08:05:00+00:00,2026-05-08T10:20:00+00:00,0,2.25,0.5639097744360902,3,,
HGH,CKG,Sichuan Airlines,2026-05-08T08:05:00+00:00,2026-05-08T10:55:00+00:00,0,2.83,1.0,3,,
HGH,INC,Hebei Airlines,2026-05-08T08:00:00+00:00,2026-05-08T10:50:00+00:00,0,2.83,1.0,3,,
